Team,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-28,2022-07-29,2022-07-30,2022-07-31,2022-08-01,2022-08-02,2022-08-03,2022-08-04,2022-08-05,2022-08-06,2022-08-07,2022-08-08,2022-08-09,2022-08-10,2022-08-11,2022-08-12,2022-08-13,2022-08-14,2022-08-15,2022-08-16,2022-08-19,2022-08-20,2022-08-21,2022-08-22,2022-08-23,2022-08-24,2022-08-25,2022-08-26,2022-08-28,2022-08-29,2022-08-30,2022-09-05,2022-09-06,2022-09-08
Arsenal FC,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.7025,5.675,5.637499999999999,5.6,5.562499999999999,5.525,5.487499999999999,5.45,5.4125,5.375,5.3375,5.3,5.1875,4.99,4.9425,4.8950000000000005,4.847500000000001,4.800000000000001,4.7525,4.705,4.61,4.5625,4.515,4.23,4.182499999999999,4.0875
Aston Villa FC,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.25,13.1375,13.325,13.3325,13.36,13.3875,13.415,13.4425,13.47,12.8675,12.825,12.7825,12.74,12.6125,13.21,13.2075,13.205,13.2025,13.2,13.197500000000002,13.195,13.67,13.6875,13.705,14.45,14.4875,14.5625
AFC Bournemouth,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,21.81,21.62,21.43,21.24,21.05,20.86,20.67,20.48,20.92,20.9,20.790000000000003,20.68,20.35,20.72,20.64,20.56,20.67,20.6,20.53,20.46,20.8,20.75,20.700000000000003,19.12,19.03,18.85
Brentford FC,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.89,14.88,14.82,14.759999999999998,14.7,14.64,14.58,14.52,13.92,13.8,13.68,13.56,13.2,13.4,13.64,13.74,13.67,13.6,13.53,13.46,13.8,13.75,13.7,12.76,12.69,12.55
Brighton & Hove Albion FC,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.6925,10.735,10.6075,10.56,10.5125,10.464999999999998,10.4175,10.37,10.322500000000002,10.475,10.447500000000002,10.420000000000002,10.3375,10.47,9.6025,9.715000000000002,9.6575,9.6,9.5425,9.485,9.13,9.0625,8.995000000000001,8.59,8.522499999999999,8.3875
Chelsea FC,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.2775,3.305,3.3925,3.44,3.4875,3.535,3.5825,3.63,3.6775,3.625,3.6625,3.7,3.8125,4.01,4.7375,4.825,4.9125000000000005,5.0,5.0875,5.175000000000001,3.91,3.9375,3.965,4.13,4.1575,4.2125
Crystal Palace FC,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.575,12.61,12.635,12.68,12.725,12.77,12.815,12.86,12.905,13.05,13.105,12.92,13.025,12.1,11.905,11.87,11.835,11.8,11.765,11.73,12.38,12.375,12.37,13.3,13.325,13.375
Everton FC,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.425,14.53,14.515,14.52,14.525,14.53,14.535,14.54,14.635,14.75,14.775,14.92,15.025,14.74,14.755,14.77,14.975,15.000000000000002,15.025,15.05,15.34,15.375,15.41,14.98,14.995,15.025
Fulham FC,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.25,20.1275,19.985,19.9425,19.84,19.7375,19.635,19.5325,19.430000000000003,19.4175,19.425,19.3425,19.38,19.1625,17.65,17.827499999999997,17.865000000000002,17.7325,17.599999999999998,17.4675,17.335,18.03,17.9375,17.845,16.97,16.8675,16.6625
Leeds United,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.94,14.8,14.76,14.679999999999998,14.6,14.52,14.44,14.36,14.1,14.1,14.01,13.92,13.65,13.72,12.79,12.84,12.72,12.6,12.480000000000002,12.36,12.6,12.5,12.4,13.079999999999998,13.02,12.9
Leicester City FC,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.2775,7.324999999999999,7.3625,7.4,7.437499999999999,7.475,7.512499999999999,7.55,7.8575,8.025,8.1025,8.18,8.4125,8.969999999999999,9.0775,9.185,9.4825,9.6,9.7175,9.835,10.31,10.4375,10.565,11.33,11.4575,11.7125
Liverpool FC,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.3375,2.365,2.5425,2.64,2.7375,2.835,2.9325,3.03,3.1275,3.325,3.4325,3.42,3.7125,4.29,4.4175,4.545,4.862500000000001,5.0,5.1375,5.275,3.87,3.9375,4.005,3.77,3.8175,3.9124999999999996
Manchester City,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.11,1.22,1.09,1.12,1.15,1.18,1.21,1.24,1.0,1.0,1.0,1.0,1.0,1.3199999999999998,1.6800000000000002,1.1800000000000002,1.19,1.2000000000000002,1.21,1.22,1.24,1.25,1.26,1.3199999999999998,1.33,1.35
Manchester United,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.08,5.16,5.239999999999999,5.32,5.4,5.48,5.56,5.640000000000001,6.35,6.5,6.65,6.800000000000001,7.25,7.4,7.38,7.52,6.710000000000001,6.800000000000001,6.890000000000001,6.98,5.72,5.75,5.78,5.0,5.0,5.0
Newcastle United FC,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.2775,11.105,11.0625,10.999999999999998,10.9375,10.875,10.812499999999998,10.75,10.5975,10.625,10.5625,10.5,10.3125,10.41,10.6975,10.305,10.2525,10.2,10.1475,10.095,10.23,10.1875,10.145,11.17,11.1675,11.1625
Nottingham Forest FC,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,22.92,22.92,22.85,22.8,22.75,22.7,22.65,22.6,22.55,21.7,21.57,21.44,21.05,21.08,20.79,20.660000000000004,20.53,20.4,20.270000000000003,20.14,20.84,20.75,20.66,21.72,21.68,21.6
Southampton FC,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.01,15.1,15.15,15.2,15.25,15.3,15.35,15.4,15.0,15.1,15.11,15.239999999999998,15.3,14.52,14.32,14.28,14.24,14.2,14.160000000000002,14.12,14.52,14.5,14.48,14.04,14.009999999999998,13.95
Tottenham Hotspur,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.8725,4.675,4.6375,4.6,4.5625,4.525,4.4875,4.45,4.9525,4.675000000000001,4.6675,4.66,4.637499999999999,4.31,4.4525,4.615,4.6075,4.6000000000000005,4.5925,4.585,4.33,4.3125,4.295,4.19,4.172499999999999,4.137499999999999
West Ham United FC,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.8625,6.8950000000000005,7.1175,7.239999999999999,7.3625,7.484999999999999,7.6075,7.73,7.8525,7.975,8.0975,8.22,8.5875,8.71,9.002500000000001,9.135,9.2675,9.4,9.5325,9.665,8.969999999999999,9.0625,9.155,10.35,10.4625,10.6875
